input,rhyme_scheme,meter
"Оттого, что я каждый день в гимназии и потом даю уроки до вечера, у меня постоянно болит голова и такие мысли, точно я уже состарилась.",ABAB,iambos
"Мнительный и нежный от природы, он не мог стать независимо от этих мелочей и потухал, оставленный всеми, больной, в нищете.",ABBA,choreios
"Вставали мы около полудня; утром я  читал свои лекции, потом у царевны бывал обед,  на  который  собиралось  большое общество.",AABB,iambos
"И то спасибо, уж светло вовсе стало; только успели в лесу коней схоронить, Нагим из-за реки приехал, взял.",ABAB,choreios
"Усилить энергию одного органа, ослабить деятельность другого, произойдет всасывание, и все поправится.",ABBA,iambos
"После советов Фальтонии мне ясно представилось, как много есть в мире прекрасного, чего я не изведал и даже не попытался узнать.",AABB,choreios
"Левин выйдет совершенно прав, а «бедный» совершенно не прав, разумеется, решая дело, так сказать, в высшем смысле.",ABAB,iambos
"Впоследствии Федор Павлович сочинил подкидышу и фамилию: назвал он его Смердяковым, по прозвищу матери его, Лизаветы Смердящей.",ABBA,choreios
"Наташа угадывала то, что он намерен был сделать, и, сама не зная как, следила за ним – отдаваясь ему.",AABB,iambos
"Мы оба вышли из кухни (в которой и происходило наше свидание), и доктор снова приблизился к постели больной.",ABAB,choreios
"— Нужно, друг мой, ко всему относиться равнодушно, не портя себе жизни философией и не ставя никаких вопросов.",ABBA,iambos
"Чувствуется, что тут что-то не то, что огромная часть русского строя жизни осталась вовсе без наблюдения и без историка.",AABB,choreios
"Только очень меня от жары растомило, и месяц меня слепит, и лень на меня нашла; а кругом васильки растут, да такие крупные!",ABAB,iambos
Другой парламентер поехал в русскую цепь объявить то же известие о мирных переговорах и предложить перемирие русским войскам на три дня.,ABBA,choreios
"-- Я сыграю тебе что-нибудь из моего собственного, по дружбе, -- сказал он Б. и вытащил толстую запыленную тетрадь из-под комода.",AABB,iambos
"— все они хитрые и, прежде чем схватить червяка на крючке глубоко в круглый рот, ловко ощипывают его маленькими зубами, — умные рыбы!..",ABAB,choreios
"Всадник не потерялся, взял коня в шенкеля, вытянул его хлыстом по шее и, несмотря на его сопротивление, поставил его опять перед окном.",ABBA,iambos
"Однако вы непременно разузнайте мне как-нибудь про этого скверного мальчишку и мне все расскажите, потому что тут какой-то секрет.",AABB,choreios
"Однако  большинство  участников,  не  выдержав убийственного климата, уехало под тем или другим предлогом.",ABAB,iambos
"Пьер с снисходительно вопросительной улыбкой, с которой невольно все обращались к Тимохину, посмотрел на него.",ABBA,choreios
"Наконец, ребенка доброго, простодушного, с сердцем прямым и открытым – вы сначала измучаете, а потом ожесточите и потеряете его сердце.",AABB,iambos
"Отдохнувши, он написал на лоскутке бумажки, по просьбе трактирного слуги, чин, имя и фамилию для сообщения куда следует, в полицию.",ABAB,choreios
"Говорит, как смеешь прямо ко мне идти: на то есть приказчик; ты, говорит, сперва приказчику обязан донести… да и куда я тебя переселю?",ABBA,iambos
"— крикнула бабушка, вскинувшись с пола, и оба, тяжко топая, бросились в темноту большой парадной комнаты.",AABB,choreios
"Женился в очень молодых годах, любил свою жену без памяти; но она умерла, оставив в его сердце неизгладимое, благодарное воспоминание.",ABAB,iambos
"Хозяин тогда промолчал, но теперь показалось мне, что какая-то двусмысленная и лукавая улыбка бродила на губах его.",ABBA,choreios
"Ночь была довольно светлая; Чертопханов мог различить зубчатый очерк леса, черневшего впереди сплошным пятном.",AABB,iambos
"Все хорошо"", -- думает Светлогуб, чувствуя, как возвращается к нему то умиленно-торжественное состояние, в котором он был вчера.",ABAB,choreios
"Только напрасно вы лесу не даете... Жалеть будете... Мне наплевать, а вы пожалеете... Степан на конюшне?",ABBA,iambos
"Все они, перебивая один другого, отдавали и передавали приказания, как и куда идти, и делали ему упреки и замечания.",AABB,choreios
"Березки, которые при нем только что были посажены около забора, выросли и стали теперь высокими ветвистыми деревьями.",ABAB,iambos
"— Нужно, чтобы девочки воспитывались и учились вместе с мальчиками, чтобы те и другие были всегда вместе.",ABBA,choreios
"И, однако, две недели спустя после первого к нему посещения начали его опять мучить все те же странные мысли, как и прежде.",AABB,iambos
"Чуждаясь в Кёльне университетских лекций, я, однако, с тем большей страстностью предался вольной жизни студентов.",ABAB,choreios
"Ты приготовляешься к такому шагу в жизни, при котором пора бы уже перестать быть таким легкомысленным мальчиком.",ABBA,iambos
Генерал выследил это заблаговременно; еще накануне были сказаны иные словечки; он предчувствовал объяснение капитальное и боялся его.,AABB,choreios
"Если ты мужиком хорошим хочешь быть, так ты свою жизнь перемени, оставь свои привычки дурные, не лги, не пьянствуй, уважай свою мать.",ABAB,iambos
Мрачный молодой человек исполнял свою должность с презрением и даже как будто ощущал некоторое нравственное унижение.,ABBA,choreios
"Наконец, Вера перешла к интимным признаниям и рассказала мне, как ее бросил ее француз, о чем я знала только смутно.",AABB,iambos
"Проснувшись перед вечером, он умылся, обчистился, пообедал и, закурив папироску, сел у окна, выходившего на улицу.",ABAB,choreios
"У каждого из нас женщина есть мать, сестра, жена, друг, у Лаевского же она — всё, и притом только любовница.",ABBA,iambos
"Все без исключения поглядывали на дверь буфета и, хотя старались скрывать это, имели выражение, говорившее: «Что ж, пора бы и начинать».",AABB,choreios
"Княжна Марья отложила свой отъезд и последние три недели, как за больным ребенком, ухаживала за Наташей.",ABAB,iambos
"К нему тоже шло названье Моргача, хотя он глазами не моргал более других людей; известное дело: русский народ на прозвища мастер.",ABBA,choreios
"И я ещё твёрдо надеюсь повстречать такую книгу, которая и сделает известным имя моего молодого друга -- Иоганна Вейера.",AABB,iambos
"Впрочем, что тут разглагольствовать; да и картину рассказывать нечего; картины слишком трудно передавать словами.",ABAB,choreios
"Но когда призванный старец разрешил его от послушания, тогда лишь могло совершиться и погребение его.",ABBA,iambos
"Ознакомясь довольно с драгоценными сими памятниками, я стал искать новых источников истории села Горюхина.",AABB,choreios
"Автор чрезвычайно затрудняется, как назвать ему обеих дам таким образом, чтобы опять не рассердились на него, как серживались встарь.",ABAB,iambos
"— сказал Тарас, — и станом высокий, и чернобровый, и лицо как у дворянина, и рука была крепка в бою!",ABBA,choreios
"Подобно мальчику, она не шевелилась, но сколько живого движения чувствовалось в изгибах ее тела и в руках!",AABB,iambos
Под давлением реакционного дворянства в 1812 году отстранен от государственной службы и выслан из столицы.,ABAB,choreios
"Англичанка, услышав свое имя, медленно повела нос в сторону Грябова и измерила его презрительным взглядом.",ABBA,iambos
"А я небось не боюсь,  -  говорила Грушка,  и,  забывшись,  она,  думая о волке, клала ягоду за ягодой, и самые лучшие, не в кружку, а в рот.",AABB,choreios
"Старуха мать, засучив сильные загорелые руки, раскладывала виноград, сушеную рыбу, каймак и хлеб на низеньком круглом татарском столике.",ABAB,iambos
"Являлись и исчезали товарные поезда; она слышала, как солдат рассказывал кондукторам о ее позоре и кондуктора хохотали.",ABBA,choreios
"- Вы, верно, только ко мне одному и ходите,  и,  кроме  меня  да  Петра Ипполитовича, у вас никого нет во всем Петербурге?",AABB,iambos
"Впрочем, перед самой разлукой генеральской души с генеральским телом случилось вот какое происшествие.",ABAB,choreios
"Я простился с священником и с Акулиной Памфиловной, с жаром поручая ей ту, которую почитал уже своею женою.",ABBA,iambos
"Но так как нравственная деятельность немыслима без физической, то причина события находится ни в той, ни в другой, а в соединении обеих.",AABB,choreios
"Мало ли было кутежа и безобразий в ту ночь… Так что деньги, двести рублей, так и остались у панов в кармане.",ABAB,iambos
"Ближе, ближе катились легкие колеса; вот уже послышалось фырканье лошадей… Василий Иванович вскочил и бросился к окошку.",ABBA,choreios
"— вскрикнул я, схватив фуражку, с удивительно, впрочем, развязным видом, бог знает откуда налетевшим.",AABB,iambos
"Высказал он свою полю точно, ясно и  кратко,  не  позволив  себе  ни единого восклицания и ни единого  пояснения.",ABAB,choreios
"Огромные черные глаза блистали не восточной негой, а как-то траурно, безнадежно; огонь, светившийся в них, кажется, сжигал ее.",ABBA,iambos
"Горькие мысли его мучили… И вот он снова подымал голову, вставал на цыпочки и шел на нее поглядеть: «Господи!",AABB,choreios
"Смутный гул наполнил в это время всю комнату, словно бы по листьям высоких деревьев приближался к нам ветер или дождь.",ABAB,iambos
"Гадкая, отвратительная женщина, без сердца, – сказала мать, не могшая забыть, что Кити вышла не за Вронского, а за Левина.",ABBA,choreios
"«Шел Лойко нога за ногу, повеся голову и опустив руки, как плети, и, придя в балку к ручью, сел на камень и охнул.",AABB,iambos
Полчаса никакая даже знаменитость не продержится… Он вдруг остановился и даже как бы весь затрясся от обиды.,ABAB,choreios
"В кружке самом близком к невесте были ее две сестры: Долли и старшая, спокойная красавица Львова, приехавшая из-за границы.",ABBA,iambos
"Та вода, которую отец и педагог ждали на свои колеса, давно уже просочилась и работала в другом месте.",AABB,choreios
"Бедная не выдержала моего взгляда, опустила глаза, как виноватая, и легкая краска облила ее бледные щеки.",ABAB,iambos
"Вот если бы я была порядочная женщина, то, разумеется, по папашиным связям, я бы могла найти место зятю.",ABBA,choreios
"Ах  ты, болтушка, ах ты, мельница, ах ты, любовник из бумажки...  да  таких  розгами секут, розгами, розгами!",AABB,iambos
"— Только уж вы, ваше превосходительство, сделайте милость, заставьте вечно бога молить, будьте отцом родным, защитите.",ABAB,choreios
"Тут председатель прочел: Злоумна ненависть, судя повсюду строго, Очей имеет много И видит сквозь покров закрытые дела.",ABBA,iambos
"Волоса его, как это делают мастеровые, были обвязаны мочалочкой, и круглое лицо его казалось еще круглее и миловиднее.",AABB,choreios
"При виде такой женщины в душе его поднималось чувство нежности, такое, что он задыхался, и слезы выступали на глаза.",ABAB,iambos
"Допустим, что среди ста тысяч населения этого города, конечно, отсталого и грубого, таких, как вы, только три.",ABBA,choreios
"Уходя, Нил оставляет дверь в сени открытой, и в комнату доносится суровый окрик старика Бессеменова: ""Степанида!",AABB,iambos
"– Аще забуду тебе, Иерусалиме, да прильпнет… Он не договорил, как бы захлебнувшись, и опустился в бессилии пред деревянною лавкой на колени.",ABAB,choreios
"При других обстоятельствах я, быть может, ощутил бы робость, но теперь я едва замечал окружавших меня великанов.",ABBA,iambos
"Молились «о еже податися им целомудрию и плоду чрева на пользу, о еже возвеселитися им видением сынов и дщерей».",AABB,choreios
"Наконец последняя дочь, остававшаяся с ним в доме, умерла, и старик очутился один сторожем, хранителем и владетелем своих богатств.",ABAB,iambos
Скоро все обществе разделилось на четвертые партии в вист и расселось в разных углах генеральских комнат.,ABBA,choreios
"В короткое время я испытал водоворот страстей, видел ожесточенную борьбу за власть, наблюдал столкновение двух религий, оценил души людей.",AABB,iambos
"Уже пред самым отъездом приехал опоздавший Степан Аркадьич, с красным, веселым лицом и запахом вина и сигары.",ABAB,choreios
"За меня вся Реция, и стоит мне сказать слово, как десять тысяч человек придут сюда, чтобы сражаться за своего Господина.",ABBA,iambos
"Она видела, как люди стягивались вокруг него, — и опасения за судьбу Павла сливались с гордостью за него.",AABB,choreios
Не видал… Костылев(осторожно подвигаясь к двери в комнату Пепла) Сколько ты у меня за два-то рубля в месяц места занимаешь!,ABAB,iambos
"Читая, теперь он еще более и вместе с тем беспристрастней был поражен величием и блеском минувшей эпохи Италии.",ABBA,choreios
"Этою ""фигурою  умолчания""  я,  от  неуменья  моего,  впал  опять  в  те ""красоты""  романистов,  которые  сам  осмеял  выше.",AABB,iambos
"Когда проезжие пошли к повозке, чтобы садиться и ехать, их на минутку задержало одно обстоятельство.",ABAB,choreios
"Однажды он принес и повесил на стенку картину — трое людей, разговаривая, шли куда-то легко и бодро.",ABBA,iambos
"Но вода не была внизу, как обыкновенно бывает, а луна не была наверху: белый круг в одном месте, как обыкновенно бывает.",AABB,choreios
"Он промолчал; сказал, что он так приходил, от нечего делать, и хотел дать Федоре двадцать пять рублей; та, разумеется, не взяла.",ABAB,iambos
"Он положил в жилетный карман табакерку, опять вынул ее, несколько раз приставлял ее к носу и остановился против Балашева.",ABBA,choreios
"Кроме того, он испытывал то чувство сосредоточенного волнения, которое испытывает всякий охотник, приближаясь к месту действия.",AABB,iambos
"Третье чувство было надежда на необыкновенное, тщеславное счастье – такая сильная и твердая, что она переходила в сумасшествие.",ABAB,choreios
"На минуту настала тишина, только слышался откуда-то лай собаки да топот запоздалого путешественника с Латинской дороги.",ABBA,iambos
"А о  сем  предмете,  надо  так сказать, они во весь год ни разу не сказали  слова,  а  лишь  оба  про  себя содержали.",AABB,choreios
"Но собственный голос испугал его – так дико прозвучал он под навесом темных ветвей, в гнилой и спертой сырости лесного оврага!",ABAB,iambos
"-- спросил себя Нехлюдов, когда все эти перемены в природе кончились и поезд спустился в выемку с высокими откосами.",ABBA,choreios
"Его злила их солидная стойкость, эта единодушная уверенность в себе, торжествующие лица, громкие голоса, смех.",AABB,iambos
"Но сами вы знаете, маточка, подходит зима; вечера будут длинные; грустно будет, так вот бы и почитать.",ABAB,choreios
"В это время визгливая, зацепившаяся пулька пролетела над самыми головами разговаривающих и ударилась о камень.",ABBA,iambos
"Очень торопился, отвечал резко, очень странно, мгновениями же был как будто вовсе не в горе, а даже весел».",AABB,choreios
"Но прямое сообщение с Оренбургом было уже пресечено, и донесение Симонова дошло до губернатора не прежде, как через неделю.",ABAB,iambos
"Он человек, стоящий на высоте современного образования, и исполнит свою роль со всем необходимым в подобных случаях комильфо.",ABBA,choreios
"Даше особой комнаты не дали, хотя и была свободная; пусть все же чувствует, что она -- сирота, живет из милости.",AABB,iambos
"Но не слышал никто из них, какие «наши» вошли в город, что привезли с собою и каких связали запорожцев.",ABAB,choreios
"Люди, разъезжающие в степи, заметя движение в крепости, съехались в кучку и стали между собою толковать.",ABBA,iambos
"В торговом отношении, на провозглашение трудолюбивым ремесленникам и всем крестьянам не последовало никакого ответа.",AABB,choreios
"Квартиргеры, встретившие полк, объявили, что все избы заняты больными и мертвыми французами, кавалеристами и штабами.",ABAB,iambos
"Вот тебе и сибирское счастье, язви его душу, вот тебе и в Сибири люди живут... Стал он всё по докторам ездить и возить их к себе.",ABBA,choreios
"Он и не пойдет на дело, где ему предстоит десять, пятнадцать процентов, а он ждет, чтобы купить за двадцать копеек рубль.",AABB,iambos
Шесть дней уходили казаки проселочными дорогами от всех преследований; едва выкосили кони необыкновенное бегство и спасали казаков.,ABAB,choreios
"Несколько раз начинала она свое письмо, — и рвала его: то выражения казались ей слишком снисходительными, то слишком жестокими.",ABBA,iambos
"Художник, очевидно, с особенным стараньем выписал грудь, промежуток между двумя грудями и ослепительные по красоте плечи и шею.",AABB,choreios
"Мозгляков еще не уехал, Мозгляков около князя, Мозгляков раззвонит по городу, а тайна, хотя бы на самое малое время, была необходима!",ABAB,iambos
"Вздумал он, по совету Тимашева, расставить капканы около вала и как волков ловить мятежников, разъезжающих ночью близ города.",ABBA,choreios
"— Просто, вот напишите имя и фамилию и больше ничего, — обязательно указывая пальцем, где подписать, объяснил Петунников.",AABB,iambos
"Я уверен, что им всем было даже, может быть, самим стыдно так пользоваться ее исступлением и выслушивать такие признания.",ABAB,choreios
"Византия, которой гниение началось вместе со славою, развратная, гнусная, должна была ужаснуть юношу.",ABBA,iambos
"Анна, вся поглощенная зрелищем скакавшего Вронского, почувствовала сбоку устремленный на себя взгляд холодных глаз своего мужа.",AABB,choreios
"Пусть судит мои давние прегрешения господь бог, я же скажу, что такова была жизнь и всех других юношей нашего круга.",ABAB,iambos
"То  было заклятие,  обрекавшее  нас  духам-мстителям  за  то,   что   мы   тревожим спокойствие пустыни.",ABBA,choreios
"147  Господин генерал Вимпфен, граф Ланжерон, князь Лихтенштейн, Гогенлоэ и еще Пршпршипрш, как все польские имена.",AABB,iambos
Митя в большом смущении принагнулся и стал ей помогать и наконец вправил себе образок чрез галстук и ворот рубашки на грудь.,ABAB,choreios
"Глаза у ней были светло-карие, прекрасные глаза, живые, умевшие отразить в себе и любовь, и угрюмую ненависть.",ABBA,iambos
"И в ту же минуту по улицам курьеры, курьеры, курьеры… можете представить себе, тридцать пять тысяч одних курьеров!",AABB,choreios
"Я взглянула на него мельком: он смотрел так, как будто между нами ничего не случилось, то есть был суров и угрюм по-всегдашнему.",ABAB,iambos
"Посмотрела я на нее, повернулась тихонько, вышла, а сама про себя думаю, только вдруг слышу, отворили окошко.",ABBA,choreios
"Грудей у нее не было, и даже сквозь толстую холстину рубахи проступали ребра, точно обручи на рассохшейся бочке.",AABB,iambos
"В это время ядро просвистело над головами говоривших и в аршине ударилось от Мельникова, подходившего к ним по траншее.",ABAB,choreios
"Скажите им, что не будут наши тела лежать в могилах, а растаскают и оглодают наши кости жадные волки и выклюют глаза нам черные вороны"".",ABBA,iambos
"Матушка была больна, а Анна Федоровна совсем было уж собралась, да поссорилась со стариком Покровским и осталась.",AABB,choreios
"Ибрагим был бы очень рад избавиться, но ассамблея была дело должностное, и государь строго требовал присутствия своих приближенных.",ABAB,iambos
"– Да он не пренебрег; я верю, что он любил меня, но он был покорный сын…  – Да, но если б он не по воле матери, а просто сам?..",ABBA,choreios
"Сердце у него надрывалось, и в голове, пустой и словно оглушенной, кружились все одни и те же мысли, темные, вздорные, злые.",AABB,iambos
"Да вот Ратазяев бы первый выдал; он к графине В. ездит; говорит, что каждый раз бывает у ней, и запросто бывает.",ABAB,choreios
"Видя взволнованное состояние собеседника, дама постаралась ответить ему как можно мягче и обстоятельнее.",ABBA,iambos
"Сознавался, впрочем, что брат был в последние дни, из-за страсти к Грушеньке, из-за соперничества с отцом, в положении невыносимом.",AABB,choreios
"Мужики медленно расходились по площади, мать видела, что голубоглазый направляется к ней и исподлобья смотрит на нее.",ABAB,iambos
"Павел Павлович был как будто бледен, и руки у него дрожали – это ясно заметил Вельчанинов, хотя всеми силами старался не смотреть на него.",ABBA,choreios
"Русый пушок пробивал по щекам и над красными губами, весьма часто складывавшимися в застенчивую улыбку и открывавшими белые блестящие зубы.",AABB,iambos
"Не сумею объяснить почему, но я ответил: -- Я не женат, милый Матвей, но не надо такими словами стыдить и меня и барышню.",ABAB,choreios
"Мать встретила его пристальный, участливый взгляд и с рыданием, которого не могла удержать, воскликнула: — Что это было, голубчик вы мой!",ABBA,iambos
Темно-синее небо было совершенно чисто; только подошвы снеговых гор начинали одеваться бело-лиловыми облаками.,AABB,choreios
"Тут непременно кругом растет дрок (непременно дрок или какая-нибудь такая трава, о которой надобно справляться в ботанике).",ABAB,iambos
"Так  Ламберт  уже  знает Версилова, Ламберт проник до Версилова, - Ламберт и  Анна  Андреевна,  -  он проник и до нее!",ABBA,choreios
"Вы не поверите, до какой степени может варвар полюбить Европу; все же он тем как бы тоже участвует в культе.",AABB,iambos
"Июнь, 1882  Встреча  СонМне снилось: я шел по широкой голой степи, усеянной крупными угловатыми камнями, под черным, низким небом.",ABAB,choreios
"Он не играл в табельку, но так подсел к князю Д., с которым он был на ты, и не отказался от стакана шампанского, которое ему предложили.",ABBA,iambos
"И никому никогда не позволю ничего дурного про нее сказать и подумать, потому что в ней одно хорошее.",AABB,choreios
"Оно, разумеется, князь Андрей не дитя, и без него обойдется, да против воли в семью входить нехорошо.",ABAB,iambos
"В таком-то приятном настроении духа я вышел в большую комнату с тем, чтобы закурить папироску, которую мне дал Дубков.",ABBA,choreios
"Я уж слышу, знаю, что без тебя я не проживу; ты мне надобен, мне твое сердце надобно, твоя душа золотая... Ох, Ваня!",AABB,iambos
"Войдя в переднюю, он увидал красавца лакея в галунах и медвежьей пелеринке, державшего белую ротонду из американской собаки.",ABAB,choreios
"Он видел, как баба -- она -- побежала к сараю, но ему нельзя уже было вернуться, потому что его встретил мужик, и он пошел домой.",ABBA,iambos
"К чему их вечная печаль, вечная их тревога и суета; вечная, угрюмая злость их (потому что они злы, злы, злы)?",AABB,choreios
"Лаврецкий вышел вслед за ней из церкви и догнал ее на улице; она шла очень скоро, наклонив голову и спустив вуаль на лицо.",ABAB,iambos
"Дютрейль сделал над собой усилие,  чтобы  не  рассердиться,  и  ответил сколько мог мягче и ласковее: - Черт возьми, дорогой друг!",ABBA,choreios
"Нет, добрый друг мой и благодетель, вы ошибетесь, если будете подозревать меня в нечувствительности и неблагодарности.",AABB,iambos
Он вместе с Падуровым заведовал письменными делами у безграмотного Пугачева и ввел строгий порядок и повиновение в шайках бунтовщиков.,ABAB,choreios
"После чего стал перед ним совершенно непринужденно, не сохраняя того ласкового вида, с каким прежде торопился снимать с него шинель.",ABBA,iambos
"Графиня принялась утешать его, уверяя, что даже с мсье Юмом случались иногда подобные неудачи… Князь Коко подтвердил ее слова.",AABB,choreios
"Бедная девка долго не соглашалась, но ее уговорили; притом она сама видела, что иначе она не отделается от своего обожателя.",ABAB,iambos
"Кажется, он тогда собирался уехать на лето к себе в деревню, а пока жил некоторое время у Некрасова.",ABBA,choreios
"С тех пор как были дети и чем больше они росли, тем чаще именно сами дети были и средством и предметом раздора.",AABB,iambos
"И потому не верь подозрениям, а лучше приди и объяснись откровенно и по-братски с самим Маслобоевым.",ABAB,choreios
"Распустеха-то, -- проговорила Кораблева, обращая внимание Масловой на странные звуки, слышавшиеся с другой стороны нар.",ABBA,iambos
"Ужасно, главное, то…» – начала она, но не докончила своей мысли, потому что Матрена Филимоновна высунулась из двери.",AABB,choreios
"Далее штрафы за просроченные дни, поборы за житье в Женеве - сверх всякого рода поборов за дом, мастерскую, за то и се.",ABAB,iambos
"Он признавал, что газеты печатали много ненужного и преувеличенного, с одною целью – обратить на себя внимание и перекричать других.",ABBA,choreios
"Может быть, и есть такой человек, которому прочли приговор, дали помучиться, а потом сказали: «Ступай, тебя прощают».",AABB,iambos
"Я бы все на свете обратил тогда в прекрасное и высокое; в гадчайшей, бесспорной дряни отыскал бы прекрасное и высокое.",ABAB,choreios
"Так что усилия славян, даже и в случае очень большого успеха, могут быть вознаграждены лишь довольно слабыми пальятивами.",ABBA,iambos
"Ничего не может быть страшнее, как потерять зрение; это невыразимая обида, она отнимает у человека девять десятых мира.",AABB,choreios
"В том состоянии раскрытости душевной, в котором находилась Наташа, эта молитва сильно подействовала на нее.",ABAB,iambos
"Аркадий опять ""струхнул не на шутку"" (как потом признавался себе) и поспешил Кузьму успокоить: -- Перестань шуметь, что ты!",ABBA,choreios
"«Полно врать пустяки, — сказала ему капитанша, — ты видишь, молодой человек с дороги устал; ему не до тебя... (держи-ка руки прямее...).",AABB,iambos
"– Вы сейчас сказали мне, Ирина Павловна, что я не хочу зарыть прежних дней… Ну, а если я не могу забыть их?",ABAB,choreios
"Сотские остановились перед толпой, она всё росла быстро, но молча, и вот над ней вдруг густо поднялся голос Рыбина.",ABBA,iambos
"Шумные мужчины затихли, когда она проходила мимо их по платформе, и один что-то шепнул об ней другому, разумеется что-нибудь гадкое.",AABB,choreios
"Около церкви Георгия Победоносца меня остановил ночной сторож, сердито расспрашивая, кто я, что несу за спиной в мешке.",ABAB,iambos
"Но то, что Сергей Иваныч и княгиня как будто желали отделаться от него, нисколько не смущало Степана Аркадьича.",ABBA,choreios
"Тебя зовут Юний Норбан, -- (добавил он), -- это -- славное имя, и ты должен стараться быть его достойным.",AABB,iambos
"После партии Вронский и Левин подсели к столу Гагина, и Левин стал по предложению Степана Аркадьича держать на тузы.",ABAB,choreios
"Ибо, положим например, тебе дано устроить нового крокодила -- тебе, естественно, представляется вопрос: какое основное свойство крокодилово?",ABBA,iambos
"Ему казалось в эту минуту, что он был призван дать новое направление всему русскому обществу и всему миру.",AABB,choreios
"Конечно, я не говорил Ромасю о таких стычках, но, заметив, что я прихрамываю, он сам догадался, в чем дело.",ABAB,iambos
"Избрав старца, вы от своей воли отрешаетесь и отдаете ее ему в полное послушание, с полным самоотрешением.",ABBA,choreios
"Ефимов, который теперь уже был сыт, насмешливо поглядывал на своего бывшего товарища и в чески старался чем-нибудь уколоть его.",AABB,iambos
"Все вы - бесчувственные... Ты вот... девушка бедная, бесприютная, ты бы должна быть скромной... ласковой со всеми... а ты - туда же!",ABAB,choreios
